Table Name,State Code,District Code,Area Name,Total/ Rural/Urban,Present Age,Total Women,Total Ever Married Women,Total Ever Married Women - Parity - 0,Total Ever Married Women - Parity - 1,Total Ever Married Women - Parity - 2,Total Ever Married Women - Parity - 3,Total Ever Married Women - Parity - 4,Total Ever Married Women - Parity - 5,Total Ever Married Women - Parity - 6,Total Ever Married Women - Parity - 7+,Total Children Ever Born - Persons,Total Children Ever Born - Male,Total Children Ever Born - Female
F01ST33,33,602,District - Thiruvallur,Urban,40-44,370,368,45,52,115,88,42,13,10,3,862,494,368
F01ST33,33,602,District - Thiruvallur,Urban,45-49,355,352,45,48,93,81,51,18,13,3,875,469,406
F01ST33,33,602,District - Thiruvallur,Urban,50-54,274,273,44,32,72,56,42,17,5,5,666,359,307
F01ST33,33,602,District - Thiruvallur,Urban,55-59,167,165,20,33,30,38,26,13,3,2,409,220,189
F01ST33,33,602,District - Thiruvallur,Urban,60-64,164,163,19,27,43,25,19,11,9,10,450,234,216
F01ST33,33,602,District - Thiruvallur,Urban,65-69,99,98,18,16,11,14,11,13,6,9,301,171,130
F01ST33,33,602,District - Thiruvallur,Urban,70-74,62,61,10,8,10,8,7,7,3,8,206,109,97
F01ST33,33,602,District - Thiruvallur,Urban,75-79,26,26,5,2,6,5,4,2,1,1,71,37,34
F01ST33,33,602,District - Thiruvallur,Urban,80+,38,35,9,7,7,2,3,1,2,4,87,46,41
F01ST33,33,603,District - Chennai,Total,All Ages,4854,3148,750,570,1013,479,165,90,42,39,5697,3159,2538
F01ST33,33,603,District - Chennai,Total,Less than 15,1090,16,11,2,3,0,0,0,0,0,8,4,4
F01ST33,33,603,District - Chennai,Total,15-19,408,92,69,17,5,1,0,0,0,0,30,14,16
F01ST33,33,603,District - Chennai,Total,20-24,489,310,144,79,65,18,4,0,0,0,279,165,114
F01ST33,33,603,District - Chennai,Total,25-29,518,447,119,111,164,46,4,2,1,0,609,328,281
F01ST33,33,603,District - Chennai,Total,30-34,473,447,82,78,224,54,6,1,1,1,730,405,325
F01ST33,33,603,District - Chennai,Total,35-39,432,423,78,70,179,72,16,6,0,2,754,421,333
F01ST33,33,603,District - Chennai,Total,40-44,307,303,45,51,111,69,17,7,2,1,602,337,265
F01ST33,33,603,District - Chennai,Total,45-49,322,316,54,51,94,74,26,13,2,2,656,364,292
F01ST33,33,603,District - Chennai,Total,50-54,231,226,38,40,65,48,22,9,3,1,472,243,229
F01ST33,33,603,District - Chennai,Total,55-59,192,188,33,25,34,41,27,13,8,7,487,276,211
F01ST33,33,603,District - Chennai,Total,60-64,152,146,29,16,29,22,20,15,10,5,394,216,178
